
香港,#genre#
DW ENGLISH FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2021
EURONEWS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2017
FOX BUSINESS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2011
FOX Live NOW HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2037
FOX NEWS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2001
FRANCE 24 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2024
HLN HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2007
MSNBC HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2005
NBC NEWS FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2023
NEWSMAX HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2010
NEWSNET,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2033
NEWSY HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2027
ONE AMERICAN NEWS NETWORK HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2016
PEOPLE TV HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2028
RT NEWS AMERICA,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2020
THE WEATHER CHANNEL HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2008
USA TODAY News HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2036
WGN 9 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2025


马来西亚,#genre#
FOOD NETWORK HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1301
DISCOVERY ASIA [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1302
CELESTIAL CLASSIC MOVIES [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1303
WWE NETWORK [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1304
TVB JADE [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1307
TVB E-NEWS [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1308
TLC HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1309
SUN TV HD APAC [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1310
ONE HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1312
Oh!K HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1313
TVB CLASSIC [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1315
iQIYI HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1316
HITS MOVIES [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1317
HISTORY HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1318
DMAX HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1321
DISNEY JUNIOR [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1322
DISCOVERY HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1324
DISCOVERY SCI HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1325
CTI ASIA [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1326
CINEMAX HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1327
CRIME INVESTIGATION HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1328
CGTN [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1329
CELESTIAL MOVIES [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1330
AXN HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1331
AOD 352 [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1332
AOD 351 [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1333
ANIMAL PLANET HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1334
AOD 353 [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1335
XIAO TAI YANG [H],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1336
STAR VIJAY HD APAC [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1338
OASIS HD [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1339
AWANI [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1340
CRICKET [SP],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1341
ASTRO CRICKET HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1342
ZEE TAMIL HD APAC [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1343
CNA [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1344
HITS [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1345
RUGBY PASS TV [ASTRO],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=1346
